######################     START OF THE TEST    ###################### -2015-11-23 13:11:01,590 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,856 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,856 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,857 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testUserDifferentDevices                     -2015-11-23 13:11:02,857 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,857 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,857 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,858 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCloseReOpenQR                     -2015-11-23 13:11:02,859 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,859 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,859 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,860 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiDeletedLongPress                     -2015-11-23 13:11:02,860 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,860 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,860 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,862 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSelectRide                     -2015-11-23 13:11:02,862 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,862 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,862 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,864 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCompletedStatusRider                     -2015-11-23 13:11:02,864 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,864 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,864 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,866 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testGroupChatIcn                     -2015-11-23 13:11:02,866 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,866 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,866 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,868 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserSignUPProfile                     -2015-11-23 13:11:02,868 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,868 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,868 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,869 - com.quickride.baselib.QRTestngListener - INFO
