######################     START OF THE TEST    ###################### -2015-12-04 17:33:01,078 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,506 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,506 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,521 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testMoreCarCapacitySeats                     -2015-12-04 17:33:33,521 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,525 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,525 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,530 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCompletedStatusPassenger                     -2015-12-04 17:33:33,530 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,531 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,531 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,533 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLocation                     -2015-12-04 17:33:33,533 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,534 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,534 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,554 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLogoutNoVerifyQuickRide                     -2015-12-04 17:33:33,555 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,556 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,557 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,561 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiReject                     -2015-12-04 17:33:33,561 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,562 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,562 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,566 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCarCapacityCancelRide                     -2015-12-04 17:33:33,566 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,567 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,567 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,568 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCancelledStsRider                     -2015-12-04 17:33:33,568 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,568 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,568 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,569 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testpassengercancelRide                     -2015-12-04 17:33:33,569 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,570 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,570 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,581 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiProfile                     -2015-12-04 17:33:33,581 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,581 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,581 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,586 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCancelledStsPassenger                     -2015-12-04 17:33:33,586 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,587 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,587 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,589 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiCountTxt                     -2015-12-04 17:33:33,589 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,589 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,589 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,591 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testPassengerCancelStatus                     -2015-12-04 17:33:33,591 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,591 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,591 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,595 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderAcceptsPassengerCancelsSts                     -2015-12-04 17:33:33,595 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,602 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,616 - com.quickride.baselib.QRTestngListener - INFO
